,id,type,title,director,country,release_year,rating,genre,duration_in_min,duration_in_seasons
2286,2286,TV Show,Grimoire of Zero,Unknown,Italy,2017,14+,"Action, Anime, Fantasy",0,1
2287,2287,TV Show,Grimm,Unknown,Italy,2017,14+,TV Shows,0,6
2288,2288,Movie,Griefwalker,Tim Wilson,Canada,2008,16+,Documentary,70,0
2289,2289,Movie,Greg Fitzsimmons: Life On Stage,Tyler Spindel,Italy,2013,13+,"Arts, Entertainment, and Culture, Comedy, Special Interest",61,0
2290,2290,Movie,Greenfingers,Joel Hershman,Italy,2001,17+,"Comedy, Drama, Romance",91,0
2291,2291,Movie,Green is Gold,Ryon Baxter,United States,2016,17+,"Arts, Entertainment, and Culture, Drama, Young Adult Audience",82,0
2292,2292,Movie,Greatest Show On Earth,Cecil B. DeMille,Italy,1952,ALL,Drama,153,0
2293,2293,Movie,Great Rupert,Irving Pichel,Italy,1950,ALL,Comedy,88,0
2294,2294,TV Show,Great Plains: America's Lingering Wild,Unknown,Italy,2013,14+,"Documentary, Special Interest",0,1
2295,2295,TV Show,Great Interior Design Challenge,Unknown,Italy,2014,10+,"Special Interest, Unscripted",0,1
2296,2296,TV Show,Great British Menu,Unknown,Italy,2017,ALL,"Documentary, Special Interest, Unscripted",0,6
2297,2297,TV Show,Grantchester,Unknown,Italy,2020,14+,"Drama, Historical",0,5
2298,2298,TV Show,Grand Tours of Scotland's Lochs,Unknown,Italy,2017,ALL,"Documentary, Special Interest",0,1
2299,2299,TV Show,Grand Prix Driver,Unknown,United States,2018,7+,"Documentary, Sports",0,1
2300,2300,TV Show,Grand Blue Dreaming,Unknown,Italy,2018,UNRATED,TV Shows,0,1
2301,2301,TV Show,Gracepoint,Unknown,Italy,2014,13+,"Drama, Suspense",0,1
2302,2302,Movie,Grace of God,Kevan Otto,Italy,2015,16+,"Drama, Faith and Spirituality, Kids",99,0
2303,2303,Movie,Goyenda Junior,Mainak Bhaumik,India,2019,ALL,"International, Suspense",118,0
2304,2304,TV Show,Gown and Out in Beverly Hills,Unknown,Italy,2020,18+,"LGBTQ, Special Interest, Unscripted",0,2
2305,2305,TV Show,Gortimer Gibbon's Life on Normal Street,Unknown,United States,2016,7+,Kids,0,3
2306,2306,Movie,Gorgeous Aerial Views,Mark Knight,Italy,2019,ALL,"Documentary, Special Interest",60,0
2307,2307,Movie,Gook,Justin Chon,Italy,2017,18+,"Drama, Young Adult Audience",95,0
2308,2308,TV Show,GooGoo: Learn Colors and vehicles with Funny Baby,Unknown,Italy,2018,ALL,Kids,0,2
2309,2309,Movie,Goodbye World,Denis Hennelly,Italy,2014,13+,"Comedy, Drama",101,0
2310,2310,Movie,Goodachari,Sashi Kiran Tikka,India,2018,18+,"International, Suspense",142,0
2311,2311,TV Show,Good Omens,Unknown,"United Kingdom, United States",2019,16+,"Comedy, Drama, Fantasy",0,1
2312,2312,Movie,Good Intentions,Jim Issa,Italy,2010,13+,Comedy,85,0
2313,2313,TV Show,Good Girls Revolt,Unknown,United States,2016,18+,Drama,0,1
2314,2314,Movie,Gold,Reema Kagti,Italy,2018,13+,"Drama, International, Sports",146,0
2315,2315,TV Show,Going Viral Pvt. Ltd.,Unknown,Italy,2017,UNRATED,TV Shows,0,1
2316,2316,Movie,Goin' South,Jack Nicholson,Italy,1978,8+,"Comedy, Western",108,0
2317,2317,TV Show,Gogo Dino Explorers,Unknown,Italy,2018,ALL,"Action, Animation, Kids",0,2
2318,2318,Movie,Gog,Herbert L. Strock,Italy,1954,13+,"Horror, Science Fiction",83,0
2319,2319,TV Show,God of Lost Fantasy,Unknown,Italy,2020,13+,"Action, Drama",0,1
2320,2320,Movie,God City Da Movie,"Chezzy Boy, Muscle",Italy,2021,18+,"Action, Drama",86,0
2321,2321,TV Show,"Go with YoYo! Exercise, Yoga and Mindfulness for Kids",Unknown,Italy,2020,ALL,"Fitness, Kids, Special Interest",0,1
2322,2322,TV Show,Go Go Babies in Car City,Unknown,Italy,2021,ALL,"Animation, Kids",0,1
2323,2323,Movie,Go Fast. Go North.,Spencer Weber,Italy,2017,16+,"Documentary, Sports",99,0
